"LibN3etdemi";"N1";"LibN1";"N2";"LibN2";"N3";"LibN3";"N3etdemi";"N4";"LibN4";"IntituleInsee"
"Accueil et information";5;"Employés";54;"Employés administratifs d'entreprise";54;"Employés administratifs d'entreprise";541;"541a";"Agents et hôtesses d'accueil et d'information (hors hôtellerie)";"Agent d'accueil (accueil ou information, y.c. des transports : hôtesse au sol)"
"Accueil et information";5;"Employés";54;"Employés administratifs d'entreprise";54;"Employés administratifs d'entreprise";541;"541d";"Standardistes, téléphonistes";"Standardiste (sauf Etat, coll. loc.)"
"Activités assimilées";1;"Agriculteurs exploitants";10;"Agriculteurs exploitants";12;"Agriculteurs sur moyenne exploitation";122;"122a";"Entrepreneurs de travaux agricoles à façon, de 0 à 9 salariés";"Entrepreneur de battage (NON SAL)(0 A 9,ND)"
"Activités assimilées";1;"Agriculteurs exploitants";10;"Agriculteurs exploitants";12;"Agriculteurs sur moyenne exploitation";122;"122a";"Entrepreneurs de travaux agricoles à façon, de 0 à 9 salariés";"Entrepreneur de travaux agricoles (NON SAL)(0 A 9,ND)"
"Activités assimilées";1;"Agriculteurs exploitants";10;"Agriculteurs exploitants";12;"Agriculteurs sur moyenne exploitation";122;"122b";"Exploitants forestiers indépendants, de 0 à 9 salariés";"Artisan charbonnier (NON SAL)(0 A 9,ND)"
"Activités assimilées";1;"Agriculteurs exploitants";10;"Agriculteurs exploitants";12;"Agriculteurs sur moyenne exploitation";122;"122b";"Exploitants forestiers indépendants, de 0 à 9 salariés";"Schlitteur (NON SAL)(0 A 9,ND)"
"Activités assimilées";1;"Agriculteurs exploitants";10;"Agriculteurs exploitants";12;"Agriculteurs sur moyenne exploitation";122;"122b";"Exploitants forestiers indépendants, de 0 à 9 salariés";"Sylviculteur (NON SAL)(0 A 9,ND)"
"Activités assimilées";1;"Agriculteurs exploitants";10;"Agriculteurs exploitants";12;"Agriculteurs sur moyenne exploitation";122;"122b";"Exploitants forestiers indépendants, de 0 à 9 salariés";"Débardeur (NON SAL)(0 A 9,ND)"
"Activités assimilées";1;"Agriculteurs exploitants";10;"Agriculteurs exploitants";12;"Agriculteurs sur moyenne exploitation";122;"122b";"Exploitants forestiers indépendants, de 0 à 9 salariés";"Bûcheron (NON SAL)(0 A 9,ND)"
"Activités assimilées";1;"Agriculteurs exploitants";10;"Agriculteurs exploitants";12;"Agriculteurs sur moyenne exploitation";122;"122b";"Exploitants forestiers indépendants, de 0 à 9 salariés";"Exploitant forestier (NON SAL)(0 A 9,ND)"
"Activités assimilées";1;"Agriculteurs exploitants";10;"Agriculteurs exploitants";12;"Agriculteurs sur moyenne exploitation";122;"122c";"Patrons pêcheurs et aquaculteurs, de 0 à 9 salariés";"Capitaine de pêche (NON SAL)(0 A 9,ND)"
"Activités assimilées";1;"Agriculteurs exploitants";10;"Agriculteurs exploitants";12;"Agriculteurs sur moyenne exploitation";122;"122c";"Patrons pêcheurs et aquaculteurs, de 0 à 9 salariés";"Aquaculteur (NON SAL)(0 A 9,ND)"
"Activités assimilées";1;"Agriculteurs exploitants";10;"Agriculteurs exploitants";12;"Agriculteurs sur moyenne exploitation";122;"122c";"Patrons pêcheurs et aquaculteurs, de 0 à 9 salariés";"Patron pêcheur (NON SAL)(0 A 9,ND)"
"Activités assimilées";1;"Agriculteurs exploitants";10;"Agriculteurs exploitants";12;"Agriculteurs sur moyenne exploitation";122;"122c";"Patrons pêcheurs et aquaculteurs, de 0 à 9 salariés";"Conchyliculteur (NON SAL)(0 A 9,ND)"
"Activités assimilées";1;"Agriculteurs exploitants";10;"Agriculteurs exploitants";12;"Agriculteurs sur moyenne exploitation";122;"122c";"Patrons pêcheurs et aquaculteurs, de 0 à 9 salariés";"Mytiliculteur (NON SAL)(0 A 9,ND)"
"Activités assimilées";1;"Agriculteurs exploitants";10;"Agriculteurs exploitants";12;"Agriculteurs sur moyenne exploitation";122;"122c";"Patrons pêcheurs et aquaculteurs, de 0 à 9 salariés";"Ostréiculteur (NON SAL)(0 A 9,ND)"
"Activités assimilées";1;"Agriculteurs exploitants";10;"Agriculteurs exploitants";12;"Agriculteurs sur moyenne exploitation";122;"122c";"Patrons pêcheurs et aquaculteurs, de 0 à 9 salariés";"Pisciculteur (NON SAL)(0 A 9,ND)"
"Activités assimilées";1;"Agriculteurs exploitants";10;"Agriculteurs exploitants";12;"Agriculteurs sur moyenne exploitation";122;"122c";"Patrons pêcheurs et aquaculteurs, de 0 à 9 salariés";"Pêcheur (NON SAL)(0 A 9,ND)"
"Activités assimilées";1;"Agriculteurs exploitants";10;"Agriculteurs exploitants";12;"Agriculteurs sur moyenne exploitation";122;"122c";"Patrons pêcheurs et aquaculteurs, de 0 à 9 salariés";"Salinier (NON SAL)(0 A 9,ND)"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Adjoint administratif principal (ETAT, sauf Poste, trésor, douanes, impôts)"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Employé de bureau à l'éducation nationale"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Commis de bureau (hôpitaux)"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Adjoint administratif principal (COLL. LOC.)"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Adjoint administratif principal (hôpitaux.)"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Adjoint administratif (hôpitaux)"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Adjoint de contrôle DGCCRF"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Commis de la fonction publique"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Dessinateur d'exécution (ETAT)"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Archiviste (informatique) (adjoint administratif)(COLL. LOC.)"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Commis de bureau (COLL. LOC.)"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Commis des collectivités locales"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Commis de bureau (ETAT)"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Adjoint administratif (ETAT, sauf Poste, trésor, douanes, impôts )"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Adjoint administratif (COLL. LOC.)"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Aide d'économat (éducation nationale)"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Appariteur enquêteur assermenté (COLL. LOC.)"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Assistant de gestion ANPE"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Aide d'économat (hôpitaux)"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Chef du standard téléphonique (hôpitaux)"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Archiviste (informatique) (adjoint administratif)(ETAT)"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Chef de groupe administratif (COLL. LOC.)"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Dessinateur d'exécution (COLL. LOC.)"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Permanence de régulation médicale"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Enquêteur des collectivités locales"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Enquêteur (ETAT)"
"Adjoints administratifs de la fonction publique (y.c. enseignement)";5;"Employés";51;"Employés de la fonction publique";52;"Employés civils et agents de service de la fonction publique";523;"523a";"Adjoints administratifs de la fonction publique (y.c. enseignement)";"Secrétaire de mairie (Adjoint administratif)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374a";"Cadres de l'exploitation des magasins de vente du commerce de détail";"Directeur de zone (commerce de détail)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374a";"Cadres de l'exploitation des magasins de vente du commerce de détail";"Directeur régional (commerce de détail)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374a";"Cadres de l'exploitation des magasins de vente du commerce de détail";"Gérant de supermarché (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374a";"Cadres de l'exploitation des magasins de vente du commerce de détail";"Superviseur d'hyper ou de supermarché"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374b";"Chefs de produits, acheteurs du commerce et autres cadres de la mercatique";"Animateur en marchandisage (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374b";"Chefs de produits, acheteurs du commerce et autres cadres de la mercatique";"Chef de groupe d'achats (CADRE,QND)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374b";"Chefs de produits, acheteurs du commerce et autres cadres de la mercatique";"Chef de marque (CADRE,QND)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374b";"Chefs de produits, acheteurs du commerce et autres cadres de la mercatique";"Assistant marketing (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374b";"Chefs de produits, acheteurs du commerce et autres cadres de la mercatique";"Cadre de la promotion ventes (sauf commerce de détail) (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374b";"Chefs de produits, acheteurs du commerce et autres cadres de la mercatique";"Consultant marketing (CADRE,QND)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374b";"Chefs de produits, acheteurs du commerce et autres cadres de la mercatique";"Directeur du marketing (CADRE,QND)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374b";"Chefs de produits, acheteurs du commerce et autres cadres de la mercatique";"Chef de service marketing, merchandising (CADRE,QND)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374b";"Chefs de produits, acheteurs du commerce et autres cadres de la mercatique";"Chef de service promotion des ventes (sauf commerce de détail) (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374b";"Chefs de produits, acheteurs du commerce et autres cadres de la mercatique";"Acheteur (commerce) (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374b";"Chefs de produits, acheteurs du commerce et autres cadres de la mercatique";"Acheteur de grand magasin, centrale d'achat (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374b";"Chefs de produits, acheteurs du commerce et autres cadres de la mercatique";"Cadre en marketing (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374b";"Chefs de produits, acheteurs du commerce et autres cadres de la mercatique";"Chef de produit (CADRE,QND)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374b";"Chefs de produits, acheteurs du commerce et autres cadres de la mercatique";"Directeur des achats (commerce) (CADRE,QND)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374b";"Chefs de produits, acheteurs du commerce et autres cadres de la mercatique";"Responsable marketing (CADRE,QND)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374b";"Chefs de produits, acheteurs du commerce et autres cadres de la mercatique";"Marchandiseur (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374b";"Chefs de produits, acheteurs du commerce et autres cadres de la mercatique";"Merchandiser (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374c";"Cadres commerciaux des grandes entreprises (hors commerce de détail)";"Attaché commercial (GE)(hors commerce de détail) (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374c";"Cadres commerciaux des grandes entreprises (hors commerce de détail)";"Cadre des ventes (GE) (hors commerce de détail) (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374c";"Cadres commerciaux des grandes entreprises (hors commerce de détail)";"Commercial (GE)(hors commerce de détail) (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374c";"Cadres commerciaux des grandes entreprises (hors commerce de détail)";"Directeur commercial (GE)(hors commerce de détail) (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374a";"Cadres de l'exploitation des magasins de vente du commerce de détail";"Directeur commercial (commerce de détail) (CADRE,QND)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374a";"Cadres de l'exploitation des magasins de vente du commerce de détail";"Directeur de réseau (commerce de détail)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374a";"Cadres de l'exploitation des magasins de vente du commerce de détail";"Responsable de caisse (commerce de détail) (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374a";"Cadres de l'exploitation des magasins de vente du commerce de détail";"Responsable de région supérettes/succursales"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374a";"Cadres de l'exploitation des magasins de vente du commerce de détail";"Chef de département d'hypermarché"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374a";"Cadres de l'exploitation des magasins de vente du commerce de détail";"Chef de grande surface (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374a";"Cadres de l'exploitation des magasins de vente du commerce de détail";"Chef de magasin (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374a";"Cadres de l'exploitation des magasins de vente du commerce de détail";"Chef de secteur (commerce de détail) (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374a";"Cadres de l'exploitation des magasins de vente du commerce de détail";"Chef des ventes (commerce de détail) (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374a";"Cadres de l'exploitation des magasins de vente du commerce de détail";"Directeur d'hypermarché"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374a";"Cadres de l'exploitation des magasins de vente du commerce de détail";"Directeur de grand magasin"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374a";"Cadres de l'exploitation des magasins de vente du commerce de détail";"Directeur de supermarché (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374a";"Cadres de l'exploitation des magasins de vente du commerce de détail";"Gérant de grande surface (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374a";"Cadres de l'exploitation des magasins de vente du commerce de détail";"Gérant de commerce (SALARIE)(CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374a";"Cadres de l'exploitation des magasins de vente du commerce de détail";"Gérant mandataire (commerce) (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374a";"Cadres de l'exploitation des magasins de vente du commerce de détail";"Chef de caisses (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374a";"Cadres de l'exploitation des magasins de vente du commerce de détail";"Chef de département (commerce de détail) (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374d";"Cadres commerciaux des petites et moyennes entreprises (hors commerce de détail)";"Cadre commercial (ME ou nd) (sauf commerce, banque, assurances, édition..) (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374d";"Cadres commerciaux des petites et moyennes entreprises (hors commerce de détail)";"Cadre commercial (PME)(hors commerce de détail) (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374d";"Cadres commerciaux des petites et moyennes entreprises (hors commerce de détail)";"Chef de service commercial (PME)(hors commerce de détail) (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374d";"Cadres commerciaux des petites et moyennes entreprises (hors commerce de détail)";"Chef des ventes (PME) (hors commerce de détail) (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374d";"Cadres commerciaux des petites et moyennes entreprises (hors commerce de détail)";"Commercial (PME)(hors commerce de détail) (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374d";"Cadres commerciaux des petites et moyennes entreprises (hors commerce de détail)";"Directeur commercial (PME)(hors commerce de détail) (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374d";"Cadres commerciaux des petites et moyennes entreprises (hors commerce de détail)";"Ingénieur commercial (PME)(hors commerce de détail) (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374d";"Cadres commerciaux des petites et moyennes entreprises (hors commerce de détail)";"Responsable commercial (PME)(hors commerce de détail) (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374d";"Cadres commerciaux des petites et moyennes entreprises (hors commerce de détail)";"Responsable de l'exploitation des ventes (PME)(hors commerce de détail) (CADRE)"
"Administration commerciale";3;"Cadres et professions intellectuelles supérieures";36;"Cadres d'entreprise";37;"Cadres administratifs et commerciaux d'entreprise";374;"374d";"Cadres commerciaux des petites et moyennes entreprises (hors commerce de détail)";"Chef de secteur (PME)(hors commerce de détail) (CADRE)"
